audit_id,gold_id,agreement_partition,system_blind,message,context,primary_intent,should_escalate,required_reply_points,forbidden_claims,draft_reply,evidence,human_groundedness,human_actionability,human_tone,human_safety,human_accept,human_critical_error,human_notes,annotator
AUD-080,SPOT-129,calibration,System B,"@user I'm interested in your company's history but what's up with all these versions of the Spotify company? AB, Limited, Technology S.A, etc. I'd love to get some clarity on this topic!",,other,true,Direct the company-history question to official corporate or press sources; state only verified relationships among the legal entities,Invent the corporate structure; give legal advice; imply the support agent can authoritatively explain unverified entities,Hi there! Can you fire over your account's email address via DM? We'll see what we can suggest /NY,"[{""pair_id"": ""1663706"", ""conversation_id"": ""1663705"", ""message"": ""@user Can I use Spotify family in company? Do you send invoice for company? Thank you"", ""reply"": ""Hi there! Can you fire over your account's email address via DM? We'll see what we can suggest /NY <historical-link>"", ""similarity"": 0.3264, ""quality"": 0.2856, ""weak_intent"": ""other""}]",,,,,,,,
AUD-032,SPOT-046,holdout,System B,@user Not working in Germany,,playback_technical,true,Ask what feature is not working in Germany and for the exact symptom error device app version network and time; check regional service status using verified information,Do not claim a Germany-wide outage or that service is fixed; do not guess a cause; do not give destructive troubleshooting without a symptom,Could you send us a DM with your account's email address or username? We'll take a look backstage /LO,"[{""pair_id"": ""263526"", ""conversation_id"": ""263521"", ""message"": ""@user Germany i guess"", ""reply"": ""Could you send us a DM with your account's email address or username? We'll take a look backstage /LO <historical-link>"", ""similarity"": 0.6352, ""quality"": 0.2914, ""weak_intent"": ""other""}]",,,,,,,,
AUD-028,SPOT-043,calibration,System C,@user where can i find the release notes of last updates? can't find it :/,,product_feedback,false,Explain accurately whether version-specific release notes are available and where official update information can be found; acknowledge that detailed notes would be useful and record the feedback,Do not invent release notes or a link; do not promise future publication; do not claim a specific change was in an update without evidence,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-030,SPOT-043,calibration,System A,@user where can i find the release notes of last updates? can't find it :/,,product_feedback,false,Explain accurately whether version-specific release notes are available and where official update information can be found; acknowledge that detailed notes would be useful and record the feedback,Do not invent release notes or a link; do not promise future publication; do not claim a specific change was in an update without evidence,Thanks for reporting this. Please share the artist and release name (not account details) so the catalog issue can be checked.,"[{""pair_id"": ""2679877"", ""conversation_id"": ""2679876"", ""message"": ""@user Where can I find release notes for updates? “We’re always making changes and improvements” is all I see, ever. iOS 11"", ""reply"": ""Hey Mario! You can add your support at <historical-link> to help make it happen. For anything else let us know"", ""similarity"": 0.4474, ""quality"": 0.2139, ""weak_intent"": ""content_catalog""}, {""pair_id"": ""2175473"", ""conversation_id"": ""2175472"", ""message"": ""Hi @user Is there any release notes for the desktop app?"", ""reply"": ""Hey there! We currently don't issue release notes, but you can vote for this idea: <historical-link> to help make it happen"", ""similarity"": 0.3922, ""quality"": 0.2392, ""weak_intent"": ""content_catalog""}, {""pair_id"": ""2203707"", ""conversation_id"": ""2203706"", ""message"": ""Where can I find this on @user? <URL>"", ""reply"": ""Hey there. We're afraid we don't have that version, but here's something as equally awesome! Check this out: <historical-link>"", ""similarity"": 0.3674, ""quality"": 0.425, ""weak_intent"": ""other""}]",,,,,,,,
AUD-098,SPOT-165,holdout,System B,"@user, why are you committing suicide by fucking with playlists? Now it only plays the most ""profitable"" tracks, and just because I like an artist, doesn't mean I want to hear them on EVERY playlist. At this rate you're going where Pandora went! #disappointed #stupid #Ethereum",,product_feedback,false,Acknowledge dissatisfaction with playlist curation and capture the desired variety and control,Interpret figurative 'suicide' as confirmed self-harm; defend profit motives; promise algorithm changes,Hey there! Can you give us more info about what's happening exactly? Could you DM us your account's email address? We'll take a look /NS,"[{""pair_id"": ""1944303"", ""conversation_id"": ""1944302"", ""message"": ""Fck u @user Y R U LIKE PANDORA NOW? I liked u cause if I wanted a certain artist u only played them! Now u hitting me with random shit."", ""reply"": ""Hey there! Can you give us more info about what's happening exactly? Could you DM us your account's email address? We'll take a look /NS <historical-link>"", ""similarity"": 0.272, ""quality"": 0.5394, ""weak_intent"": ""content_catalog""}]",,,,,,,,
AUD-101,SPOT-166,holdout,System B,"Dear @user , How do I hide all things Christmas from my experience. I'm bombarded with that perversion everywhere else in life. Please make it go away.",,product_feedback,false,Acknowledge the request to reduce seasonal recommendations and suggest current preference or feedback controls if verified,Treat 'bombarded' as a bomb threat; promise all Christmas content can be hidden,"Hey Matt! We're working on it, and we hope to have it available soon. There's more info here:","[{""pair_id"": ""2239773"", ""conversation_id"": ""2239772"", ""message"": ""All I want for Christmas is Lemonade on Spotify, please make it happen @user"", ""reply"": ""Hey Matt! We're working on it, and we hope to have it available soon. There's more info here: <historical-link>"", ""similarity"": 0.2755, ""quality"": 0.3958, ""weak_intent"": ""product_feedback""}]",,,,,,,,
AUD-102,SPOT-166,holdout,System A,"Dear @user , How do I hide all things Christmas from my experience. I'm bombarded with that perversion everywhere else in life. Please make it go away.",,product_feedback,false,Acknowledge the request to reduce seasonal recommendations and suggest current preference or feedback controls if verified,Treat 'bombarded' as a bomb threat; promise all Christmas content can be hidden,Thanks for the thoughtful feedback. I’ve captured the use case clearly so the product team can review it.,"[{""pair_id"": ""2239773"", ""conversation_id"": ""2239772"", ""message"": ""All I want for Christmas is Lemonade on Spotify, please make it happen @user"", ""reply"": ""Hey Matt! We're working on it, and we hope to have it available soon. There's more info here: <historical-link>"", ""similarity"": 0.2755, ""quality"": 0.3958, ""weak_intent"": ""product_feedback""}, {""pair_id"": ""1544270"", ""conversation_id"": ""1544269"", ""message"": ""@user please make my Christmas miracle come true <URL>"", ""reply"": ""1: Hey Mark! We can confirm the other songs on the album were temporarily removed because of licensing changes. More info here... 2: <historical-link> Hopefully we'll have them available again soon"", ""similarity"": 0.247, ""quality"": 0.71, ""weak_intent"": ""product_feedback""}, {""pair_id"": ""1105806"", ""conversation_id"": ""1105803"", ""message"": ""Dear @user, please fuck off with the Christmas song adverts. Thanks. Bye."", ""reply"": ""Hey, thanks for your feedback - we'll pass it on. For now, check out <historical-link> if you haven't had a subscription before"", ""similarity"": 0.2548, ""quality"": 0.4269, ""weak_intent"": ""product_feedback""}]",,,,,,,,
AUD-059,SPOT-096,holdout,System B,@user No on the shuffle of the band,"Hey there! We hear you. Just to check, did this song appear at the end of your playlist?",playlist_library,true,Clarify what no refers to and where the unexpected song appeared; ask for the playlist or artist context and device details needed to reproduce the shuffle behavior,Assume the cause of the shuffle; claim an account fix; state that the behavior is expected without understanding it,Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest 🙂,"[{""pair_id"": ""257219"", ""conversation_id"": ""257218"", ""message"": ""fix your shuffle button @user"", ""reply"": ""Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest 🙂"", ""similarity"": 0.5245, ""quality"": 0.4017, ""weak_intent"": ""playlist_library""}]",,,,,,,,
AUD-049,SPOT-080,holdout,System C,Hello? @user?? You're not working and I have 20 minutes to dance around my lounge room before I have to go to work!!!,,playback_technical,false,Apologize for the interruption; ask whether playback is still failing; if so request device app and network details or direct them to a verified status page,Claim everything is now working; assert a confirmed outage without live evidence; make light of the urgency,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-015,SPOT-028,holdout,System A,"@user Hi, I recently purchased a new Samsung gear S3 frontier and the Spotify app doesn't let me log in. It says log in failed but I use the same login on my PC and it works. Help!!",,account_access,true,Acknowledge that the credentials work on the PC but fail on the Gear S3; verify the watch app version and supported login method; move any account lookup or reset to secure support,Do not ask for the password; do not claim the credentials are wrong or the account is locked; do not promise a reset,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""2023365"", ""conversation_id"": ""2023364"", ""message"": ""@user I had recently purchased spotify premium and had not received it"", ""reply"": ""Hey, help's here. Can you let us know your account's email address via DM? We'll take a look backstage /NY <historical-link>"", ""similarity"": 0.374, ""quality"": 0.3011, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""235223"", ""conversation_id"": ""235222"", ""message"": ""@user login button on the app doesn't work, help!!"", ""reply"": ""Hi there! Help's here. What exact device/operating system are you currently using?"", ""similarity"": 0.3414, ""quality"": 0.1594, ""weak_intent"": ""account_access""}, {""pair_id"": ""1233738"", ""conversation_id"": ""1233735"", ""message"": ""Hey @user is there going to be a Spotify app for the Samsung Gear 2 in the UK at all? Wanting to get one but only if Spotify will work"", ""reply"": ""Hey there! It isn't currently available, but you can suggest it in our Community at <historical-link> and get support from others"", ""similarity"": 0.3263, ""quality"": 0.4308, ""weak_intent"": ""other""}]",,,,,,,,
AUD-024,SPOT-039,calibration,System A,@user is down 😫,,playback_technical,false,Acknowledge the apparent outage; refer only to verified current service status; ask whether it is still happening and collect region device and symptom details if so,Do not confirm a broad outage or say it is resolved without verification; do not invent a cause,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""1807095"", ""conversation_id"": ""1807094"", ""message"": ""@user is down ⬇️ #Spotify <URL>"", ""reply"": ""Hey! Things should be looking good now, but give our Artist team a shout at <historical-link> if you still need help 🙂 /N"", ""similarity"": 0.4279, ""quality"": 0.2353, ""weak_intent"": ""other""}, {""pair_id"": ""1839491"", ""conversation_id"": ""1839490"", ""message"": ""@user let me down today. :("", ""reply"": ""Hey there. We’re afraid the codes are sent to those who listen to Majid Jordan the most on Spotify. Sorry! We'll pass on your feedback"", ""similarity"": 0.4086, ""quality"": 0.2606, ""weak_intent"": ""other""}, {""pair_id"": ""1737245"", ""conversation_id"": ""1737244"", ""message"": ""@user <URL> seems down in FR"", ""reply"": ""Hi! We've just sent a DM your way. Let's carry on chatting there"", ""similarity"": 0.4163, ""quality"": 0.0044, ""weak_intent"": ""other""}]",,,,,,,,
AUD-057,SPOT-092,holdout,System A,nako spotify,,other,true,Ask what happened and what help they need; offer an appropriate language-support route if needed,Claim a DM was sent; claim the issue is resolved; invent the meaning of the phrase,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""1855121"", ""conversation_id"": ""1855119"", ""message"": ""@user ただspotifyは無料会員だと、シャッフルでしか再生できなかったり途中で関係ない曲入れられたり早送りが５曲？くらいまでしかできなくて慣れるまで少しイライラします笑"", ""reply"": ""ツイート拝見しました。Freeユーザーでスマホをご利用の場合はシャッフル再生となりますが、時間制限なしでお楽しみいただけます。タブレットやパソコンではシャッフルなしで15時間/30日までご利用いただけます。詳しくはこちら→ <historical-link>"", ""similarity"": 0.3763, ""quality"": 0.0508, ""weak_intent"": ""other""}, {""pair_id"": ""189397"", ""conversation_id"": ""189396"", ""message"": ""@user how can i be on spotify"", ""reply"": ""Hi! We've just sent you a bit more info over DM. We'll carry on helping out there"", ""similarity"": 0.3215, ""quality"": 0.0375, ""weak_intent"": ""other""}, {""pair_id"": ""52337"", ""conversation_id"": ""52334"", ""message"": ""@user spotify pls :("", ""reply"": ""Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝"", ""similarity"": 0.2976, ""quality"": 0.2197, ""weak_intent"": ""other""}]",,,,,,,,
AUD-062,SPOT-098,holdout,System B,"@user If you really love students, then why is there only college students only instead for all students? Be specific next time with your stupid ass ads. I'm in high school and today you guys ruined my day trying to listen some music with premium.",,billing_subscription,true,Acknowledge the frustration; provide current verified student-plan eligibility and alternatives; record the separate complaint about misleading ad wording,Insult or scold the customer; promise high-school eligibility or Premium; invent plan rules,"1: Hey there! Students must be actively in term at their college/university to be eligible to apply the discount. If they try to sign... 2: up during the holidays, or before their term begins they are likely to be declined. More info here:","[{""pair_id"": ""2071597"", ""conversation_id"": ""2071596"", ""message"": ""@user does your student offer for both premium and hulu apply to high school students or only college students?"", ""reply"": ""1: Hey there! Students must be actively in term at their college/university to be eligible to apply the discount. If they try to sign... 2: up during the holidays, or before their term begins they are likely to be declined. More info here: <historical-link>"", ""similarity"": 0.5158, ""quality"": 0.53, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-105,SPOT-168,holdout,System A,"@user Do you really? Why is there no Disconnect from Facebook button, why do we need to 'log a ticket'. Good luck with GDPR.",,account_access,true,Acknowledge the Facebook-disconnect and GDPR concern; route privacy-policy review through a secure official channel,Dismiss GDPR; claim compliance; ask for account data publicly; quote a stale disconnect policy,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""609612"", ""conversation_id"": ""609611"", ""message"": ""@user is there any way to disconnect facebook from a spotify account?"", ""reply"": ""Hi! We can help with that. Can you DM us your account's email address? We'll take look backstage 🔍 /PI <historical-link>"", ""similarity"": 0.4545, ""quality"": 0.2933, ""weak_intent"": ""account_access""}, {""pair_id"": ""1875288"", ""conversation_id"": ""1875287"", ""message"": ""@user Can I disconnect my old Spotify from my facebook account and connect my new one?"", ""reply"": ""Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS <historical-link>"", ""similarity"": 0.408, ""quality"": 0.3225, ""weak_intent"": ""account_access""}, {""pair_id"": ""1908053"", ""conversation_id"": ""1908052"", ""message"": ""@user Hi, I'd like to disconnect my account from Facebook to connect with my email and password. How can I do it? Thanks"", ""reply"": ""Hi Cyril, we're here to help! Can you DM us with your account's email address? We'll take a look backstage /WW <historical-link>"", ""similarity"": 0.3741, ""quality"": 0.3089, ""weak_intent"": ""account_access""}]",,,,,,,,
AUD-075,SPOT-112,calibration,System A,@user I was wondering what are the chances of Spotify adding King Crimson’s discography/studio albums.,,content_catalog,false,Acknowledge the request for King Crimson albums; explain catalog availability can change; direct them to official availability information or request channels,Promise the discography will be added; give odds or a date; state a specific rights issue as fact,Thanks for reporting this. Please share the artist and release name (not account details) so the catalog issue can be checked.,"[{""pair_id"": ""853092"", ""conversation_id"": ""853087"", ""message"": ""Why is King Crimson not on Spotify come on man @user"", ""reply"": ""We'd love to have them on Spotify! Hopefully we will in the future. Check this out: <historical-link>"", ""similarity"": 0.4086, ""quality"": 0.3764, ""weak_intent"": ""other""}, {""pair_id"": ""401764"", ""conversation_id"": ""401763"", ""message"": ""@user put rbd discography on spotify pls:("", ""reply"": ""Hey Victoria, we'd love to have them on Spotify! Hopefully we will in the future. Check this out: <historical-link>"", ""similarity"": 0.3561, ""quality"": 0.4036, ""weak_intent"": ""other""}, {""pair_id"": ""2141755"", ""conversation_id"": ""2141754"", ""message"": ""@user add RBD’s entire discography please"", ""reply"": ""Hey there! We’d love to have all of their stuff available, but we have some info about content here: <historical-link>"", ""similarity"": 0.3147, ""quality"": 0.4094, ""weak_intent"": ""other""}]",,,,,,,,
AUD-048,SPOT-079,calibration,System A,"@user @user hi, I've got a monthly subscription which renews on 9th Dec but have just taken advantage of your annual sub for £99 offer. Do I need to cancel my monthly or does that automatically stop?",,billing_subscription,true,Route a secure review of how the annual offer affects the monthly renewal; tell the customer not to post account or payment details; advise against cancelling until current terms are checked,Guarantee the monthly plan stops automatically; claim cancellation or refund completion; request account identifiers publicly,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""1336237"", ""conversation_id"": ""1336236"", ""message"": ""@user why can't I pay monthly for Premium? It's only showing me annual subscription and I don't want to pay an entire year in advance"", ""reply"": ""Hey! Can you try signing up at <historical-link> using an incognito window? Let us know if it makes a difference"", ""similarity"": 0.3905, ""quality"": 0.5778, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""2381850"", ""conversation_id"": ""2381849"", ""message"": ""It bothers me that @user doesn't have a button that will stop the automatically renewal of your subscription. I don't want to cancel and end now but I want it to not renew at the next billing cycle, you know."", ""reply"": ""1: Hey Kenneth, thanks for the feedback! We'll be sure to pass it onto the relevant folks. Could you send us a DM with your account's... 2: email address or username? We'll take a look backstage"", ""similarity"": 0.343, ""quality"": 0.41, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""2309845"", ""conversation_id"": ""2309843"", ""message"": ""Hi @user how do I change my monthly subscription to a yearly one?"", ""reply"": ""Hey! Just select 'See more offers' on the Payments page. This should bring up the option to pay yearly. Hope that helps"", ""similarity"": 0.342, ""quality"": 0.4114, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-107,SPOT-171,holdout,System B,I.CANT.REGISTER!!! 😭 @user <URL>,,account_access,true,Acknowledge registration failure and route account setup help; ask only for non-sensitive error text or screenshot,Ask for password or email publicly; claim registration succeeded,We'd love to have them on Spotify! Hopefully we will in the future. Check this out:,"[{""pair_id"": ""809602"", ""conversation_id"": ""809601"", ""message"": ""What? @user is not on @user!!!"", ""reply"": ""We'd love to have them on Spotify! Hopefully we will in the future. Check this out: <historical-link>"", ""similarity"": 0.3723, ""quality"": 0.3764, ""weak_intent"": ""other""}]",,,,,,,,
AUD-042,SPOT-068,holdout,System A,@user wsup ?,,other,true,Ask what they need help with; request a brief description of the issue,Claim the service is restored; imply a known outage,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""2175483"", ""conversation_id"": ""2175482"", ""message"": ""@user Where ?"", ""reply"": ""Our Artist team takes care of artists like you. They'll help with your current issue. Just fill out the form at <historical-link>"", ""similarity"": 0.2147, ""quality"": 0.2508, ""weak_intent"": ""other""}, {""pair_id"": ""2317028"", ""conversation_id"": ""2317027"", ""message"": ""@user @user @user do it"", ""reply"": ""Hi there! We’ll have it available to you as soon as it’s available to us. More info here: <historical-link>"", ""similarity"": 0.2012, ""quality"": 0.3881, ""weak_intent"": ""other""}, {""pair_id"": ""1834158"", ""conversation_id"": ""1834157"", ""message"": ""@user @user <URL>"", ""reply"": ""1: Hi Mike! Help's here. We can confirm that the track is currently unavailable on Spotify. Sometimes content gets temporarily removed... 2: due to licensing changes. Having said that, it's odd that you're still hearing audio. Can you check if it's the same while streaming?"", ""similarity"": 0.1362, ""quality"": 0.89, ""weak_intent"": ""other""}]",,,,,,,,
AUD-009,SPOT-018,holdout,System A,ok so Spotify explain. 30 mins no advertising but after clicking on a new playlist there is suddenly another commercial I AM NOT PAYING FOR PREMIUM STOP TRYING @user,,product_feedback,false,Acknowledge frustration with an ad appearing after switching playlists; explain the Free-tier ad experience cautiously and note that playback actions can affect sessions only if verified; record the feedback,Do not promise exactly 30 uninterrupted ad-free minutes in every interaction; do not claim ads were disabled; do not pressure the customer to buy Premium,"I can help with that. Which device are you using, and does the same playlist or library issue appear in the web player?","[{""pair_id"": ""2317489"", ""conversation_id"": ""2317487"", ""message"": ""@user and yes I know this is advertising the trial"", ""reply"": ""Hi there! Thanks for the feedback. We'll be sure to pass it on to the right folks. Give us a shout if you have any other questions"", ""similarity"": 0.3382, ""quality"": 0.2528, ""weak_intent"": ""product_feedback""}, {""pair_id"": ""2350979"", ""conversation_id"": ""2350977"", ""message"": ""@user since when are there so many commercials on a paid account? What exactly am I paying for? I get 2 commercials after every like 3 songs now."", ""reply"": ""Hey there, that's odd! Can you DM us know your account's email address and username? We'll take a look backstage for you /KL <historical-link>"", ""similarity"": 0.3329, ""quality"": 0.3361, ""weak_intent"": ""account_access""}, {""pair_id"": ""2021931"", ""conversation_id"": ""2021930"", ""message"": ""Stop advertising the country station to me every single action I do @user <URL>"", ""reply"": ""Hey, thanks for your feedback - we'll pass it on. For now, check out <historical-link> if you haven't had a subscription before"", ""similarity"": 0.2902, ""quality"": 0.4269, ""weak_intent"": ""product_feedback""}]",,,,,,,,
AUD-039,SPOT-061,holdout,System A,"@user I've got the ""Get a year of Premium"" offer splash screen on my iOs app, but there wasn't any CTA to apply just a button to open a webpage... and there is no button, link or anything... How can I apply?!?! 🧐🤨 #Spotify #SpotifyPremium",,billing_subscription,true,Acknowledge that the annual Premium offer appeared but has no usable call to action; direct the customer to the verified offer page and eligibility terms and suggest a browser check; route account-specific eligibility to secure support,Do not guarantee eligibility or claim the offer was applied; do not ask for payment details or a password publicly; do not invent a link or deadline,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""1780063"", ""conversation_id"": ""1780062"", ""message"": ""Why can't I add family member to my Spotify premium account???? #frustrated #spotify #spotifypremium @user"", ""reply"": ""Hi Rachel, help has arrived. Can you DM us all accounts' (yours and your family members') email addresses or usernames? /ME <historical-link>"", ""similarity"": 0.2694, ""quality"": 0.3342, ""weak_intent"": ""account_access""}, {""pair_id"": ""1440073"", ""conversation_id"": ""1440071"", ""message"": ""#spotifycares @user the recently played songs does n apear on my iphone,latest ios & spotify app, no button 🚗 <URL>"", ""reply"": ""Hi, help's arrived! Can you try to see if restarting your phone makes a difference? Also, when did this start happening?"", ""similarity"": 0.2429, ""quality"": 0.7733, ""weak_intent"": ""other""}, {""pair_id"": ""2050974"", ""conversation_id"": ""2050973"", ""message"": ""@user Can I apply to have another year of student spotify?"", ""reply"": ""Hey there, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MQ <historical-link>"", ""similarity"": 0.2327, ""quality"": 0.3128, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-046,SPOT-079,calibration,System C,"@user @user hi, I've got a monthly subscription which renews on 9th Dec but have just taken advantage of your annual sub for £99 offer. Do I need to cancel my monthly or does that automatically stop?",,billing_subscription,true,Route a secure review of how the annual offer affects the monthly renewal; tell the customer not to post account or payment details; advise against cancelling until current terms are checked,Guarantee the monthly plan stops automatically; claim cancellation or refund completion; request account identifiers publicly,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-026,SPOT-041,holdout,System B,"@user um, my account has been disabled and i didnt do anything wrong. What's up with that?",,account_access,true,Acknowledge that the account appears disabled without presuming wrongdoing; move the case to secure human review for identity and status verification; explain what non-sensitive information may be needed privately,Do not promise reactivation; do not accuse the customer or disclose an unverified reason; do not ask for the password,Hey! We've just sent a DM your way. Let's carry on chatting there,"[{""pair_id"": ""2644023"", ""conversation_id"": ""2644022"", ""message"": ""@user my account has been disabled and I have been trying all day to access it. What do I do?"", ""reply"": ""Hey! We've just sent a DM your way. Let's carry on chatting there"", ""similarity"": 0.4479, ""quality"": 0.0064, ""weak_intent"": ""account_access""}]",,,,,,,,
AUD-003,SPOT-008,holdout,System A,@user I used my sim btw,,other,true,State that the current message lacks the earlier issue; ask the customer to restate what they used the SIM for and what happened; continue privately if it concerns an account or phone number,Do not assume the SIM solved or caused the issue; do not claim an account was reviewed; do not request phone or account secrets publicly,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""1708805"", ""conversation_id"": ""1708804"", ""message"": ""@user I live in Philippines btw"", ""reply"": ""1: Hi! We're afraid it's not possible to pay for the student discount using the Pay by Mobile option, but you can use a debit card... 2: to pay for it. Don't worry, we'll pass your feedback on to the right team. Let us know if you have other questions"", ""similarity"": 0.2921, ""quality"": 0.35, ""weak_intent"": ""other""}, {""pair_id"": ""1964580"", ""conversation_id"": ""1964576"", ""message"": ""@user And Oblivion was actually playing btw"", ""reply"": ""Hey Andi! Can you give us more info on what's happening exactly? Also, what device, operating system, and Spotify version are you using?"", ""similarity"": 0.2676, ""quality"": 0.6244, ""weak_intent"": ""other""}, {""pair_id"": ""1817981"", ""conversation_id"": ""1817980"", ""message"": ""Btw hey @user why there is no official app for the apple watch?"", ""reply"": ""Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: <historical-link>"", ""similarity"": 0.2761, ""quality"": 0.4308, ""weak_intent"": ""other""}]",,,,,,,,
AUD-109,SPOT-173,holdout,System C,@user answer em dm's,,other,true,Acknowledge the delayed private message and route follow-up to the existing support conversation,Claim the DM was read or answered; request public account data,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-096,SPOT-163,holdout,System A,"@user - Some lovely human hacked my account and changed my login credentials. Luckily this morning I had an antiquated circle called a cd, but I won’t last long without infinite variety. Help! #hacked #spotify #help",,account_access,true,Prioritize secure compromised-account recovery and advise against posting credentials,Ask for password or email publicly; claim access was restored; minimize compromise,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""827520"", ""conversation_id"": ""827519"", ""message"": ""@user my account was hacked and the new user changed the email address and I can't live without music please help"", ""reply"": ""Hey Kareem, we're sorry to hear that. Check out <historical-link> for what to do next"", ""similarity"": 0.2482, ""quality"": 0.3453, ""weak_intent"": ""account_access""}, {""pair_id"": ""1816038"", ""conversation_id"": ""1816037"", ""message"": ""@user My premium account got hacked. Luckily I was able to change my password and delete other apps. What are you doing to fix this?"", ""reply"": ""Hey Mindy, we're sorry to hear that. Can you DM us your account's email address or username? We'll check backstage /RK <historical-link>"", ""similarity"": 0.2373, ""quality"": 0.5044, ""weak_intent"": ""account_access""}, {""pair_id"": ""2259614"", ""conversation_id"": ""2259613"", ""message"": ""Spotify Account is hacked @user."", ""reply"": ""Hey Sarah! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN <historical-link>"", ""similarity"": 0.2459, ""quality"": 0.3108, ""weak_intent"": ""account_access""}]",,,,,,,,
AUD-099,SPOT-165,holdout,System A,"@user, why are you committing suicide by fucking with playlists? Now it only plays the most ""profitable"" tracks, and just because I like an artist, doesn't mean I want to hear them on EVERY playlist. At this rate you're going where Pandora went! #disappointed #stupid #Ethereum",,product_feedback,false,Acknowledge dissatisfaction with playlist curation and capture the desired variety and control,Interpret figurative 'suicide' as confirmed self-harm; defend profit motives; promise algorithm changes,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""1944303"", ""conversation_id"": ""1944302"", ""message"": ""Fck u @user Y R U LIKE PANDORA NOW? I liked u cause if I wanted a certain artist u only played them! Now u hitting me with random shit."", ""reply"": ""Hey there! Can you give us more info about what's happening exactly? Could you DM us your account's email address? We'll take a look /NS <historical-link>"", ""similarity"": 0.272, ""quality"": 0.5394, ""weak_intent"": ""content_catalog""}, {""pair_id"": ""373047"", ""conversation_id"": ""373044"", ""message"": ""@user what's the point of creating a playlist if you're going to make me listen to random songs I don't want to hear? #respecttheplaylist"", ""reply"": ""Hey! This sounds like the app's Autoplay feature. Don't worry, you can turn it off by following the steps here: <historical-link>"", ""similarity"": 0.2324, ""quality"": 0.4308, ""weak_intent"": ""playlist_library""}, {""pair_id"": ""1005200"", ""conversation_id"": ""1005199"", ""message"": ""Disappointed there was no #Seal on @user #TBT animal playlist"", ""reply"": ""Hey Chris, thanks for the feedback! Our Curation team are independent, but we’ll pass on your suggestion"", ""similarity"": 0.2398, ""quality"": 0.2022, ""weak_intent"": ""playlist_library""}]",,,,,,,,
AUD-040,SPOT-068,holdout,System C,@user wsup ?,,other,true,Ask what they need help with; request a brief description of the issue,Claim the service is restored; imply a known outage,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
